Dosen,Kode Matakuliah,Matakuliah
"ABDUL HAMID CHOLILI,M.Psi",22040111D21,DESAIN PELATIHAN
"ABDUL HAMID CHOLILI,M.Psi",22040112F13,MANAJEMEN SUMBER DAYA MANUSIA
"ABDUL HAMID CHOLILI,M.Psi",22040111D25,PSIKOLOGI ISLAM
"AFA FAUZUL ADZIMS.Psi, M.Phil",22040111D07,PSIKOLOGI AGAMA
"AFA FAUZUL ADZIMS.Psi, M.Phil",22040111D09,PSIKOLOGI EKSPERIMEN
"AFA FAUZUL ADZIMS.Psi, M.Phil",22040111D25,PSIKOLOGI ISLAM
"AGUS IQBAL HAWABI,M.Psi",22040111D21,DESAIN PELATIHAN
"AGUS IQBAL HAWABI,M.Psi",22040112F13,MANAJEMEN SUMBER DAYA MANUSIA
"AGUS IQBAL HAWABI,M.Psi",22040112F14,PERILAKU ORGANISASI
"AHMAD ABI NAJIH, M.H.",22040111D02,FILSAFAT MANUSIA
"AHMAD ABI NAJIH, M.H.",24000011A02,KEWARGANEGARAAN
"AHMAD ABI NAJIH, M.H.",24000011B09,TEOSOFI
"AININDITA AGHNIACAKTI,M.Psi",22040112F06,ASSESMEN DALAM PSIKOLOGI KLINIS
"AININDITA AGHNIACAKTI,M.Psi",22040111D03,PSIKOLOGI FAAL
"AININDITA AGHNIACAKTI,M.Psi",22040111D31,PSIKOLOGI KONSELING
"ALI SYAHIDIN MUBAROK,M.Si",22040111D25,PSIKOLOGI ISLAM
"ALI SYAHIDIN MUBAROK,M.Si",22040111D06,PSIKOLOGI SOSIAL
"APRILIA MEGA ROSDIANA,M.Si",22040111D28,ANTROPOLOGI
"APRILIA MEGA ROSDIANA,M.Si",22040111D06,PSIKOLOGI SOSIAL
"Dr. ANDIK RONY IRAWAN, M.Si.Psi",22040112F10,ERGONOMI
"Dr. ANDIK RONY IRAWAN, M.Si.Psi",22040111D22,TES INVENTORI
"Dr. ELOK HALIMATUS SA DIYAH, M.Si",22040111D05,TEORI PSIKOLOGI PERKEMBANGAN
"Dr. ENDAH KURNIAWATI PURWANINGTYAS,M.Psi",22040112F11,ANALISIS JABATAN
"Dr. ENDAH KURNIAWATI PURWANINGTYAS,M.Psi",22040111D27,KODE ETIK PSIKOLOGI
"Dr. ENDAH KURNIAWATI PURWANINGTYAS,M.Psi",22040112F14,PERILAKU ORGANISASI
"Dr. FATHUL LUBABIN NUQUL, M.Si",22040111D36,PSIKOLOGI KOMUNITAS
"Dr. FATHUL LUBABIN NUQUL, M.Si",22040111D06,PSIKOLOGI SOSIAL
"Dr. FINA HIDAYATI, MA",22040111D11,METODOLOGI PENELITIAN KUANTITATIF
"Dr. FINA HIDAYATI, MA",22040111D34,MODIFIKASI PERILAKU
"Dr. FINA HIDAYATI, MA",22040111D08,PSIKOLOGI ABNORMAL
"Dr. IIN TRI RAHAYU, M.Si.Psi",22040112F07,KESEHATAN MENTAL
"Dr. IIN TRI RAHAYU, M.Si.Psi",22040111D17,PSIKODIAGNOSTIK II OBSERVASI
"Dr. MOHAMMAD MAHPUR,M.Si",22040112F15,DINAMIKA KELOMPOK
"Dr. MOHAMMAD MAHPUR,M.Si",22040111D36,PSIKOLOGI KOMUNITAS
"Dr. MOHAMMAD MAHPUR,M.Si",22040111D06,PSIKOLOGI SOSIAL
