Kode Matakuliah,Matakuliah,Dosen,Kelas,SKS,Hari,Ruang,Waktu
22000011B06,BAHASA INGGRIS II,"MUCHAMAD ADAM BASORI, M.A, TESOL",A,3,Selasa,ARI.Y.104,09.00 - 11.30
22000011B06,BAHASA INGGRIS II,"MUCHAMAD ADAM BASORI, M.A, TESOL",B,3,Rabu,ARI.Y.103,11.30 - 14.00
22000011B06,BAHASA INGGRIS II,"MUCHAMAD ADAM BASORI, M.A, TESOL",C,3,Selasa,ARI.Y.104,06.30 - 09.00
22000011B06,BAHASA INGGRIS II,"MUCHAMAD ADAM BASORI, M.A, TESOL",D,3,Kamis,ITC.I.2,11.30 - 14.00
22000011B06,BAHASA INGGRIS II,"MUCHAMAD ADAM BASORI, M.A, TESOL",E,3,Rabu,ARI.Y.103,09.00 - 11.30
22000011B06,BAHASA INGGRIS II,"ROCHMAWATI,S.S., M.Pd",F,3,Senin,ARI.Y.104,06.30 - 09.00
22000011B06,BAHASA INGGRIS II,"ROCHMAWATI,S.S., M.Pd",G,3,Senin,ARI.Y.104,09.00 - 11.30
22000011B06,BAHASA INGGRIS II,"ROCHMAWATI,S.S., M.Pd",H,3,Jumat,ARI.Y.104,06.30 - 09.00
22000011B06,BAHASA INGGRIS II,"ROCHMAWATI,S.S., M.Pd",I,3,Selasa,ITC.I.6,06.30 - 09.00
22040111D02,FILSAFAT MANUSIA,"Dr. ZAINAL HABIB,M.Hum",A,2,Selasa,ARI.Y.101,06.30 - 08.10
22040111D02,FILSAFAT MANUSIA,"Dr. ZAINAL HABIB,M.Hum",B,2,Rabu,ITC.I.4,06.30 - 08.10
22040111D02,FILSAFAT MANUSIA,"Dr. ZAINAL HABIB,M.Hum",C,2,Senin,ITC.I.1,06.30 - 08.10
22040111D02,FILSAFAT MANUSIA,"Dr. ZAINAL HABIB,M.Hum",D,2,Senin,ITC.I.2,08.10 - 09.50
22040111D02,FILSAFAT MANUSIA,"Dr. ZAINAL HABIB,M.Hum",E,2,Rabu,ITC.I.4,08.10 - 09.50
22040111D02,FILSAFAT MANUSIA,"Drs. ZAINUL ARIFIN,M.Ag",F,2,Senin,ITC.I.2,12.20 - 14.00
22040111D02,FILSAFAT MANUSIA,"TAUFIQURRAHMAN,MA",G,2,Senin,ARI.Y.103,06.30 - 08.10
22040111D02,FILSAFAT MANUSIA,"AHMAD ABI NAJIH, M.H.",H,2,Selasa,ARI.Y.101,08.10 - 09.50
22040111D02,FILSAFAT MANUSIA,"Dr. ZAINAL HABIB,M.Hum",I,2,Rabu,ITC.I.4,09.50 - 11.30
22040111D03,PSIKOLOGI FAAL,"AININDITA AGHNIACAKTI,M.Psi",A,3,Senin,ITC.I.1,09.00 - 11.30
22040111D03,PSIKOLOGI FAAL,"AININDITA AGHNIACAKTI,M.Psi",B,3,Senin,ITC.I.1,11.30 - 14.00
22040111D03,PSIKOLOGI FAAL,"AININDITA AGHNIACAKTI,M.Psi",C,3,Kamis,ITC.I.1,09.00 - 11.30
22040111D03,PSIKOLOGI FAAL,"AININDITA AGHNIACAKTI,M.Psi",D,3,Kamis,ITC.I.1,11.30 - 14.00
22040111D03,PSIKOLOGI FAAL,"HILDA HALIDA,M.Psi",E,3,Selasa,ARI.Y.102 ,06.30 - 09.00
22040111D03,PSIKOLOGI FAAL,"AININDITA AGHNIACAKTI,M.Psi",F,3,Jumat,ITC.I.5,09.00 - 11.30
22040111D03,PSIKOLOGI FAAL,"HILDA HALIDA,M.Psi",G,3,Kamis,ITC.I.2,06.30 - 09.00
22040111D03,PSIKOLOGI FAAL,"HILDA HALIDA,M.Psi",H,3,Kamis,ITC.I.2,09.00 - 11.30
22040111D03,PSIKOLOGI FAAL,"HILDA HALIDA,M.Psi",I,3,Selasa,ARI.Y.102 ,09.00 - 11.30
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,"Dr. ELOK HALIMATUS SA DIYAH, M.Si",A,6,Rabu,ITC.I.2,09.00 - 11.30
